,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Tnnc2,0.0030886257940302224,1.0,1.0,1.0,0.5,0.5,0.007805133300321274,0.08248825649729132,0.003438562664458658,0.0036491518385549874,0.0190500731077
Kitl,0.05546860486983648,1.0,1.0,1.0,0.5,0.5,0.08840051488210572,0.9342575027882742,0.03894497355734061,0.0413300950796017,0.012254201516
LOC100047728,0.35764242646578503,1.0,1.0,1.0,0.5,0.5,0.3930153067659268,1.0,0.17314345680046944,0.18374734601984324,-0.00696344162957
Gdf1,0.3632537850174886,1.0,1.0,1.0,0.5,0.5,0.3976395961173979,1.0,0.17518069410338236,0.18590935060575292,-0.000610085499206
Mag,1.7273448104085826e-07,0.0037643818680990204,0.003403972255938137,0.003409778655746542,0.00340943318678446,0.002946850246557042,1.7946041690319456e-06,1.8966206381141768e-05,7.906154393110876e-07,8.390353951586976e-07,0.0476879037645
Plg,0.30864070326310683,1.0,1.0,1.0,0.5,0.5,0.3515835048112377,1.0,0.15489061705501947,0.16437664081082695,-0.00235658321537
Evi2a,4.056923263488397e-06,0.08476923398850067,0.07214781426290973,0.07488268959746883,0.07487863267420534,0.055839491798654294,2.6213667929379657e-05,0.0002770381594641674,1.1548468984734952e-05,1.2255736172478726e-05,-0.0420203984557
Klra1,0.0017594783036697329,1.0,0.9999999999754173,1.0,0.5,0.5,0.004819574813334837,0.050935494387249564,0.002123270593087286,0.0022533068449209193,-0.0113859726705
Tpm3,3.582975870621221e-07,0.007792550337807347,0.006965655449431618,0.00699002762599494,0.006988594435646691,0.005886471057843604,3.3552019924226407e-06,3.5459325536411975e-05,1.4781390475915263e-06,1.5686652678780598e-06,-0.0177400523874
Ubl4,9.245216824789704e-06,0.1827914857442967,0.1537979545401872,0.16699635150617642,0.16698710628935162,0.11469615992834106,5.3391156527225186e-05,0.0005642624212610818,2.3521550546641893e-05,2.4962089628357947e-05,-0.0222559610881
Slc10a3,0.013777352201133205,1.0,1.0,1.0,0.5,0.5,0.02772073492829376,0.2929655401227287,0.012212409511553435,0.012960338656293651,-0.0177074815611
C2,0.008809047006687644,1.0,1.0,1.0,0.5,0.5,0.019043002588968287,0.2012552536383639,0.008389422089552347,0.008903218591574936,0.0173852506639
Il5ra,0.008458799012113858,1.0,1.0,1.0,0.5,0.5,0.018399140870653974,0.19445062538596602,0.008105767886544865,0.008602192448553762,-0.0168951756129
Myo5b,0.008008859463058463,1.0,1.0,1.0,0.5,0.5,0.017559403247466444,0.18557589003082897,0.007735820272848756,0.008209587995349555,-0.00990212907868
Bmp2,1.539768063289848e-05,0.28551662311214854,0.23926097237222554,0.273462808040277,0.273462808040277,0.1755027638537769,8.235421805639085e-05,0.0008703574431444756,3.628126882313931e-05,3.850325608415515e-05,0.0299559948247
Bmp4,0.012592742721003814,1.0,1.0,1.0,0.5,0.5,0.02569573624067092,0.27156441797348424,0.011320293436796447,0.012013586384464267,0.0252015806677
Gna11,2.4121121027346645e-06,0.05130328874431389,0.044150488453659986,0.04515473856319292,0.04515473856319292,0.03489120156605692,1.6849454100726613e-05,0.0001780728192871304,7.423051158509174e-06,7.8776638456365e-06,-0.0145396083998
Gnaq,0.009679626406236144,1.0,1.0,1.0,0.5,0.5,0.02061304567598404,0.21784819470552338,0.009081106822263006,0.009637264430017984,0.00989260488432
Akr1b7,4.179374136187855e-07,0.009083738679735331,0.00809800712197084,0.008130972381953473,0.008130554444539853,0.006807782530436397,3.828923810095748e-06,4.046583667478983e-05,1.6868378734684896e-06,1.7901455136868373e-06,-0.0480966284198
Abcb4,0.4522724305900031,1.0,1.0,1.0,0.5,0.5,0.4663705187631983,1.0,0.20546020060379247,0.21804327620163985,-0.000926966435143
Abcb1a,0.024492565407692974,1.0,1.0,1.0,0.5,0.5,0.04467852141253176,0.4721832661134616,0.01968318665691779,0.02088865138917585,-0.026413269097
Cst3,0.05490786423113832,1.0,1.0,1.0,0.5,0.5,0.08764377722982553,0.9262599494908978,0.03861159169981184,0.04097629579279024,-0.0046624202891
Eno3,0.0637531112692519,1.0,1.0,1.0,0.5,0.5,0.09934947051979487,1.0,0.04376855165933438,0.046449085372039844,0.0092014691353
Wnt2,0.029460325410862204,1.0,1.0,1.0,0.5,0.5,0.052103652998883074,0.5506554888487064,0.0229543390215378,0.024360140156540182,0.0108543128183
Gc,0.3802548119691769,1.0,1.0,1.0,0.5,0.5,0.41091708587350373,1.0,0.18103011124930074,0.19211700578479957,-0.000727737067189
Lmnb2,6.876421389892591e-05,0.777193026011885,0.685203426596166,1.0,0.5,0.49022008088544283,0.0002984282284255263,0.0031539274609677427,0.00013147298384286608,0.00013952483276498192,-0.0237485839593
Fgf6,0.3483564217408478,1.0,1.0,1.0,0.5,0.5,0.38541441038159435,1.0,0.16979487100213228,0.18019368153413728,0.00185948021366
Pcsk2,0.001336029457852357,0.9999999999997897,0.999999994154329,1.0,0.5,0.5,0.0038059175103881647,0.040222695465240654,0.0016767024151517706,0.001779389325721051,-0.0240497196732
